cd_Ugestora;dt_Ano;de_Ugestora;ELEITO;class;n.dispensas
201130;2013;OLHO D'ÁGUA;FRANCISCO DE ASSIS CARVALHO;NÃo julgados;6
201131;2009;OLIVEDOS;JOSIMAR GONCALVES COSTA;NÃo julgados;10
201131;2013;OLIVEDOS;GRIGORIO DE ALMEIDA SOUTO;NÃo julgados;10
201132;2009;OURO VELHO;INACIO AMARO DOS SANTOS FILHO;Julgados;40
201132;2009;OURO VELHO;INACIO AMARO DOS SANTOS FILHO;Julgados;40
201132;2013;OURO VELHO;NATALIA CARNEIRO NUNES DE LIRA;Julgados;9
201132;2013;OURO VELHO;NATALIA CARNEIRO NUNES DE LIRA;Julgados;9
201133;2009;PARARI;SOLANGE AIRES CALUETE GUIMARAES;NÃo julgados;0
201133;2013;PARARI;JOSE JOSEMAR FERREIRA DE SOUZA;NÃo julgados;11
201134;2009;PASSAGEM;AGAMENON BALDUINO DA NOBREGA;NÃo julgados;4
201134;2013;PASSAGEM;MAGNO SILVA MARTINS;NÃo julgados;21
201135;2009;PATOS;NABOR WANDERLEY DA NOBREGA FILHO;NÃo julgados;574
201135;2013;PATOS;FRANCISCA GOMES ARAUJO MOTTA;NÃo julgados;99
201136;2009;PAULISTA;SEVERINO PEREIRA DANTAS;Julgados;5
201136;2009;PAULISTA;SEVERINO PEREIRA DANTAS;Julgados;5
201136;2009;PAULISTA;SEVERINO PEREIRA DANTAS;Julgados;5
201136;2013;PAULISTA;SEVERINO PEREIRA DANTAS;Julgados;30
201136;2013;PAULISTA;SEVERINO PEREIRA DANTAS;Julgados;30
